the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000CBB5EC393ECA52C047342669A3074440,0101000020110F0000DDB04B91AEEA5FC1224DCC725E985241,335425,2016.0,201614092811,0411,2016-11-17,14:37:00,B,M,18,stomach,N,N,N,1500 BLOCK E Pastorius St,0,-75.16004799,40.0596744,14,0,1,0,40.0596744,-75.16004799
0101000020E61000008661FA3D75CA52C069A0BFF131044440,0101000020110F0000D7457A040CEB5FC13DFEF7848C945241,335426,2016.0,201614092898,0411,2016-11-17,19:59:00,B,M,24,torso,N,N,N,200 BLOCK E Collom St,0,-75.16340589,40.03277418,14,0,1,0,40.03277418,-75.16340589
0101000020E610000098CAD3A085C852C034C61C3E48004440,0101000020110F00001AA0DE2AC2E75FC18AED52AA35905241,335427,2016.0,201625097146,0411,2016-11-17,18:05:00,W,M,21,leg,N,N,N,200 BLOCK W Ontario St,1,-75.13315602,40.00220467,25,0,1,0,40.00220467,-75.13315602
0101000020E61000003C3A85C744C552C091B15E35E4014440,0101000020110F0000B22C687D3BE25FC1FE382B76FE915241,335428,2016.0,201615112130,0411,2016-11-18,01:00:00,B,M,30,foot,N,N,N,1600 BLOCK Meadow St,0,-75.08232296,40.01477687,15,0,1,0,40.01477687,-75.08232296
0101000020E61000003EE3A9E4EFCA52C0E22407CB5CFE4340,0101000020110F00006AFF4D5ADCEB5FC1BC608CD8148E5241,335429,2016.0,201622093601,0411,2016-11-18,12:10:00,B,M,42,leg,N,N,N,2300 BLOCK Edgley St,0,-75.17089192,39.98720682,22,0,1,0,39.98720682,-75.17089192
0101000020E61000007F41DA181ECA52C0DD85BDBB5B084440,0101000020110F000066DC2EFE77EA5FC121F3B5FD2A995241,335430,2016.0,201614093377,0411,2016-11-19,15:57:00,B,M,26,multi,N,N,N,7300 BLOCK Thouron Ave,0,-75.15808698,40.06529948,14,0,1,0,40.06529948,-75.15808698
,,335431,2016.0,201635099125,0411,2016-11-19,13:18:00,B,M,25,back,N,N,N,5800 BLOCK NWoodstock St,0,,,35,0,1,0,,
0101000020E61000007B979C2467C852C0C0208E1A38FF4340,0101000020110F0000D7C29F628EE75FC1A89A4DF5078F5241,335806,2017.0,201725101819,0411,2017-11-26,11:33:00,B,M,21,leg,N,N,N,2800 BLOCK N Howard St,0,-75.13129535,39.99389965,25,0,1,0,39.99389965,-75.13129535
0101000020E61000007B979C2467C852C0C0208E1A38FF4340,0101000020110F0000D7C29F628EE75FC1A89A4DF5078F5241,335807,2017.0,201725101820,0411,2017-11-26,11:33:00,B,M,23,leg,N,N,N,2800 BLOCK N Howard St,0,-75.13129535,39.99389965,25,0,1,0,39.99389965,-75.13129535
0101000020E6100000EFACBC68B8C252C05AD76839D0044440,0101000020110F0000E964945FE7DD5FC172AF97173C955241,335808,2017.0,201715112932,0411,2017-11-27,20:50:00,B,M,24,arm,N,N,N,3500 BLOCK Cottman Ave,0,-75.04250544,40.0376045,15,0,1,0,40.0376045,-75.04250544
