DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
5,55XX COLERAIN AV,39.1927211156136,-84.5724620308353,MT AIRY,MT. AIRY,1410,51102775,2,"CIN, OH 45224",BLACK,MALE,19,NONFATAL,05/24/2011 12:00:00 AM,MAY,222800,22,TUE,51102775,05/24/2011 10:28:00 PM,DISTRICT 5,45239,MOUNT AIRY
1,18XX REPUBLIC ST,39.1158391832198,-84.5178746268748,OVER-THE-RHINE,OVER-THE-RHINE,2008,129031686,1,"CINC, OH 45205",BLACK,MALE,25,NONFATAL,10/30/2012 12:00:00 AM,OCT,160500,16,TUE,129031686,10/30/2012 04:05:00 PM,DISTRICT 1,45202,OTR
3,19XX ELMORE ST,39.1563205574931,-84.5509483723086,SOUTH CUMMINSVILLE,SOUTH CUMMINSVILLE,4308,189014796,1,,BLACK,MALE,45,NONFATAL,06/04/2018 12:00:00 AM,JUN,201000,20,MON,189014796,06/04/2018 08:10:00 PM,DISTRICT 3,,SOUTH CUMMINSVILLE
4,7XX RIDGEWAY AV,39.1391942895296,-84.4949228025685,AVONDALE,AVONDALE,285,40806832,1,,BLACK,MALE,33,NONFATAL,09/16/2008 12:00:00 AM,SEP,,N/A,TUE,40806832,09/16/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE
1,18XX RACE ST,39.1155464980917,-84.5173278900691,OVER-THE-RHINE,OVER-THE-RHINE,442,10900249,1,,BLACK,MALE,20,NONFATAL,01/19/2009 12:00:00 AM,JAN,,N/A,MON,10900249,01/19/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,70XX GLENMEADOW LN,39.1885889404412,-84.468912164973,BOND HILL,ROSELAWN,5128,209015623,1,,BLACK,MALE,23,NONFATAL,07/19/2020 12:00:00 AM,JUL,171700,17,SUN,209015623,07/19/2020 05:17:00 PM,DISTRICT 4,,BOND HILL
4,5XX HALE AV #11,39.1397999501963,-84.4982000413246,AVONDALE,AVONDALE,1444,41103757,1,"CINC, OH 45229",BLACK,MALE,40,NONFATAL,06/17/2011 12:00:00 AM,JUN,233000,23,FRI,41103757,06/17/2011 11:30:00 PM,DISTRICT 4,45229,AVONDALE
4,UNKNOWN LOCATION ON READING,37.7954083903993,-89.3159536578326,,N/A,4115,179044728,1,,BLACK,MALE,22,NONFATAL,10/17/2017 12:00:00 AM,OCT,212000,21,TUE,179044728,10/17/2017 09:20:00 PM,DISTRICT 4,,
3,9XX ELBERON AV,39.1076657576199,-84.5654460059744,EAST PRICE HILL,EAST PRICE HILL,2857,149032730,1,"CINCINNATI, OH 45248",WHITE,MALE,19,NONFATAL,12/25/2014 12:00:00 AM,DEC,214500,21,THU,149032730,12/25/2014 09:45:00 PM,DISTRICT 3,45205,EAST PRICE HILL
4,1XX GLENRIDGE PL,39.1531784736281,-84.5019203792143,AVONDALE,AVONDALE,2282,139016617,1,"CINC, OH 45229",BLACK,MALE,43,NONFATAL,06/29/2013 12:00:00 AM,JUN,002500,0,SAT,139016617,06/29/2013 12:25:00 AM,DISTRICT 4,45217,AVONDALE
4,XX THILL ST,39.1234809678138,-84.5128774797677,MT AUBURN,MT. AUBURN,269,40806123,1,,BLACK,MALE,24,NONFATAL,08/22/2008 12:00:00 AM,AUG,,N/A,FRI,40806123,08/22/2008 12:00:00 AM,DISTRICT 4,45219,MOUNT AUBURN
4,48XX READING RD,39.1744026473757,-84.4677392289801,BOND HILL,BOND HILL,4420,189024995,1,,BLACK,FEMALE,27,NONFATAL,09/14/2018 12:00:00 AM,SEP,213500,21,FRI,189024995,09/14/2018 09:35:00 PM,DISTRICT 4,,BOND HILL
4,28XX MELROSE AV,39.1312046446857,-84.4908474019034,WALNUT HILLS,WALNUT HILLS,3908,179015474,1,,BLACK,MALE,32,NONFATAL,05/02/2017 12:00:00 AM,MAY,00000000000000.000,0,TUE,179015474,05/02/2017 12:00:00 AM,DISTRICT 4,,WALNUT HILLS
1,18XX REPUBLIC ST,39.1156644518928,-84.5167029400649,OVER-THE-RHINE,OVER-THE-RHINE,361,10805523,1,,BLACK,MALE,42,FATAL,10/31/2008 12:00:00 AM,OCT,,N/A,FRI,10805523,10/31/2008 12:00:00 AM,DISTRICT 1,45202,OTR
